token_id,name,symbol,timestamp,market_cap,total_volume,solana_mint,longterm_holders,pct_change
griffain-new-hedge-fund,Griffain New Hedge Fund,CITADAIL,2025-02-13T08:49:05.608462,3562359,738193,7h5AzpYTAnh4Gyux8Gqko5Fvx4AYQBZdkzHZ2CsBudvJ,0,0.0
big-pharmai,Big Pharmai,DRUGS,2025-02-13T08:49:05.608462,3446648,4180078,CX9YDTED9TWgVXVoFy8JL9gSSAEWcTv4mzjLSv17LQsj,0,0.0
memes-ai,Memes AI,MEMESAI,2025-02-13T08:49:05.608462,3424984,264906,39qibQxVzemuZTEvjSB7NePhw9WyyHdQCqP8xmBMpump,0,0.0
loomlay,Loomlay,LAY,2025-02-13T08:49:05.608462,3326434,138265,sRCDYrKbg186hfdrVnY3K8WTeW13cj7M25sA1Kvx2f7,0,0.0
anti-rug-agent,Anti Rug Agent,ANTIRUG,2025-02-13T08:49:05.608462,3261967,360067,ts3foLrNUMvwdVeit1oNeLWjYk7e4qsn8PqSsqRpump,0,0.0
thales-ai,Thales AI,THALES,2025-02-13T08:49:05.608462,3244112,108374,7yn2PRbB96TgcCkkMK4zD6vvMth6Co5B5Nma6XvPpump,0,0.0
solchat,Solchat,CHAT,2025-02-13T08:49:05.608462,3045122,66460,947tEoG318GUmyjVYhraNRvWpMX7fpBTDQFBoJvSkSG3,0,0.0
in-the-meme-time,In The MEME Time,ITMT,2025-02-13T08:49:05.608462,3034912,34697,AATECgWF4KjALbpgUXjabqFKHmdtjWdfdFNzCH3ipump,0,0.0
octonetai,OctonetAI,OCTO,2025-02-13T08:49:05.608462,2999355,34081,4CoTCzobYt38zVbSieZxcmz2CCs8kmZJ6wnbj8HWocto,0,0.0
agentipy,AgentiPy,APY,2025-02-13T08:49:05.608462,2959184,53911,yLUD35WTiPLEY6DUqEj5W2JVXF2DfKB5arPkKJXpump,0,0.0
bangchain-ai,BangChain AI,BANGCHAIN,2025-02-13T08:49:05.608462,2927334,783848,8SVVCGzYwnAkDwwvc5fSHZdCenUyhPccnGirWecVpump,0,0.0
gpu-ai-rich,GPU ai Rich,RICH,2025-02-13T08:49:05.608462,2843175,380202,GRQfnwWyhd4qeJqUVCZo9ku61p3YN7MWCCk8vBXnpump,0,0.0
chatoshi,ChAtoshI,CHATOSHI,2025-02-13T08:49:05.608462,2717462,169455,Bhu2wBWxfWkRJ6pFn5NodnEvMCqj9DLfCU5qMvt7pump,0,0.0
flowerai,FlowerAI,FLOWER,2025-02-13T08:49:05.608462,2689848,155214,AVyjco9j8vv7ZPkhCpEoPJ3bLEuw7G1wrrNt8DrApump,0,0.0
ai-inu,AI INU,AIINU,2025-02-13T08:49:05.608462,2648643,9164.07,Bs7diZazUH2PgNyWh7qj3kgUFXqumZpkAjTGSzQKx4cV,0,0.0
large-language-model,Large Language Model,LLM,2025-02-13T08:49:05.608462,2521683,5625274,98mb39tPFKQJ4Bif8iVg9mYb9wsfPZgpgN1sxoVTpump,0,0.0
kitten-haimer,Kitten Haimer,KHAI,2025-02-13T08:49:05.608462,2382353,232168,3TWgDvYBL2YPET2LxnWAwsMeoA8aL4DutNuwat2pKCjC,0,0.0
daige,Daige,DAIGE,2025-02-13T08:49:05.608462,2377786,253166,HsNx7RirehVMy54xnFtcgCBPDMrwNnJKykageqdWpump,0,0.0
real-world-ai,Real World AI,RWA,2025-02-13T08:49:05.608462,2369799,12196.17,G8aVC4nk5oPWzTHp4PDm3kAuixCebv9WRQMD93h9pump,0,0.0
agentaigo,AgentAlgo,AGENT,2025-02-13T08:49:05.608462,2254080,51212,BKgcrCw55yb1ocLS2MnQLT2dSkWtAPjxTanLoWB8oZso,0,0.0
gainzy,gAInzy,$GNZ,2025-02-13T08:49:05.608462,2238790,1139860,FFgfStKwuF3DSxEeogA69FNkPrkb7XDA5Tw29TBEpump,0,0.0
chaisavings,CHAISavings,CHAI,2025-02-13T08:49:05.608462,2131419,13138.04,GD8BrrhfDz2HLupx5HohuLNj5Kbc9vDwCyWE5z4bpump,0,0.0
zara-ai,ZARA AI,ZARA,2025-02-13T08:49:05.608462,2128407,89853,73UdJevxaNKXARgkvPHQGKuv8HCZARszuKW2LTL3pump,0,0.0
gm-ai,GM.AI,GM,2025-02-13T08:49:05.608462,2114818,95281,GMai1NvHreNe135cvxya1gHaUJZiT1NAvbJkF4hPHQJ9,0,0.0
any-inu,Any Inu,AI,2025-02-13T08:49:05.608462,1981089,318079,ACeWC77UeW2DBZMe7YBsuXoxLvk4dHMnPzneApau1Au6,0,0.0
sentai-2,SENTAI,SENTAI,2025-02-13T08:49:05.608462,1935792,1689826,CXPLyc3EX8WySgEXLbjhuA7vy8EKQokVJYQuJm2jpump,0,0.0
brainlet-2,Brainlet,BRAINLET,2025-02-13T08:49:05.608462,1846225,1032639,8NNXWrWVctNw1UFeaBypffimTdcLCcD8XJzHvYsmgwpF,0,0.0
cainam,Cainam,CAINAM,2025-02-13T08:49:05.608462,1813929,372033,2mhszy8YHwqs1fxruVHQQAUmNcfq31mtkmYYtNZNpump,0,0.0
aipump,aiPump,AIPUMP,2025-02-13T08:49:05.608462,1807086,1068295,2w3A2P5juwg234spHKfps7WReWoVmujtErqjaZm9VaiP,0,0.0
jailbreakme,JailbreakMe,JAIL,2025-02-13T08:49:05.608462,1741223,2260179,8cNmp9T2CMQRNZhNRoeSvr57LDf1kbZ42SvgsSWfpump,0,0.0
moai,MOAI,MOAI,2025-02-13T08:49:05.608462,1714355,18215.63,7NQSHjuEGENZDWfSvPZz7oP2D6c5Jc3LjFC6uh179ufr,0,0.0
universal-basic-compute,Universal Basic Compute,UBC,2025-02-13T08:49:05.608462,1711327,4052725,9psiRdn9cXYVps4F1kFuoNjd2EtmqNJXrCPmRppJpump,0,0.0
lillo-ai,Lillo AI,$LILLO,2025-02-13T08:49:05.608462,1641948,19956.75,5UNr4EKg7rBwjKK9xBGxGVwHuYWXFWu8VkewKquTpump,0,0.0
simsai,SimsAI,SIMSAI,2025-02-13T08:49:05.608462,1575865,12871.93,u6VCRrFvejYX8cTnc1ptZT8UqVGbPXPmE8kvcGnpump,0,0.0
cgai,CGAI,CGAI,2025-02-13T08:49:05.608462,1548101,831140,DD8GJwAZHZZsLEtKnxdWfm8JbBhUj1oVwiGigfPUpump,0,0.0
