timestamp,token_id,name,symbol,market_cap,total_volume,solana_mint,longterm_holders,pct_change
zignaly,ZIGChain,zig,2025-02-12T16:40:51.381608,128610783,10448071,26f12PmBk77wQV1TzLe8XKkNBvMFggbuypxdtMLzNLzz,411,-37.25190839694656
tars-protocol,TARS AI,tai,2025-02-12T16:40:51.381608,111786782,4741991,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,934,413.18681318681325
2025-02-12T17:34:18.638533,ai16z,ai16z,ai16z,532426132,348081755,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
2025-02-12T17:34:18.638533,ai-rig-complex,AI Rig Complex,arc,320001609,170610067,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,0,0.0
2025-02-12T17:34:18.638533,melania-meme,Melania Meme,melania,216362567,58724012,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,0,0.0
2025-02-12T17:34:18.638533,aixbt,aixbt by Virtuals,aixbt,207207216,143055090,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,342,0.0
2025-02-12T17:34:18.638533,act-i-the-ai-prophecy,Act I The AI Prophecy,act,181964075,63775816,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,607,-31.72103487064117
2025-02-12T17:34:18.638533,griffain,GRIFFAIN,griffain,148209126,47985453,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,340,-16.87041564792176
2025-02-12T17:34:18.638533,book-of-meme,BOOK OF MEME,bome,143734956,75762260,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,394,-54.239256678281066
2025-02-12T17:34:18.638533,zignaly,ZIGChain,zig,133606505,11818230,26f12PmBk77wQV1TzLe8XKkNBvMFggbuypxdtMLzNLzz,770,-18.86195995785037
2025-02-12T17:34:18.638533,tars-protocol,TARS AI,tai,118591261,5103504,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,571,-31.45258103241296
ai16z,ai16z,ai16z,2025-02-12T17:41:00.456152,526271718,347197657,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
ai-rig-complex,AI Rig Complex,arc,2025-02-12T17:41:00.456152,321506410,172320783,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,0,0.0
