timestamp,token_id,name,symbol,market_cap,total_volume,solana_mint,longterm_holders,pct_change
ai16z,ai16z,ai16z,2025-02-13T07:42:04.927642,549244719,310995397,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
ai-rig-complex,AI Rig Complex,arc,2025-02-13T07:42:04.927642,374862777,217185192,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,0,0.0
aixbt,aixbt by Virtuals,aixbt,2025-02-13T07:42:04.927642,215473785,170575426,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,0,0.0
melania-meme,Melania Meme,melania,2025-02-13T07:42:04.927642,215323954,63198450,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,0,-100.0
act-i-the-ai-prophecy,Act I The AI Prophecy,act,2025-02-13T07:42:04.927642,187278057,97740309,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,894,116.46489104116222
griffain,GRIFFAIN,griffain,2025-02-13T07:42:04.927642,160873422,53949687,KENJSUYLASHUMfHyy5o4Hp2FdNqZg1AsUPhfH2kYvEP,672,16.666666666666664
book-of-meme,BOOK OF MEME,bome,2025-02-13T07:42:04.927642,152455555,91554490,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,593,-31.524249422632796
zignaly,ZIGChain,zig,2025-02-13T07:42:04.927642,135568202,21457341,26f12PmBk77wQV1TzLe8XKkNBvMFggbuypxdtMLzNLzz,328,-57.56791720569211
tars-protocol,TARS AI,tai,2025-02-13T07:42:04.927642,117676315,5912609,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,130,-53.90070921985816
2025-02-13T08:35:28.281269,ai16z,ai16z,ai16z,543402646,310152919,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,0,0.0
2025-02-13T08:35:28.281269,ai-rig-complex,AI Rig Complex,arc,368491026,218766774,61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,244,0.0
2025-02-13T08:35:28.281269,melania-meme,Melania Meme,melania,217168890,63814247,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,228,0.0
2025-02-13T08:35:28.281269,aixbt,aixbt by Virtuals,aixbt,212116142,171109007,14zP2ToQ79XWvc7FQpm4bRnp9d6Mp1rFfsUW3gpLcRX,630,69.81132075471697
2025-02-13T08:35:28.281269,act-i-the-ai-prophecy,Act I The AI Prophecy,act,183925543,99974449,GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump,210,-71.65991902834008
